y,U_x,U_y,U_z,p,k,epsilon,nut
-1,0,0,0,0.0455858,0.00132401,0.0822629,3.62786e-08
-0.98,0.417427,0.00013776,0,0.0455984,0.0162973,0.0437666,0.000561376
-0.96,0.56453,0.00042465,0,0.0456231,0.0184671,0.0290513,0.00106289
-0.94,0.661761,0.000834043,0,0.0456534,0.0181959,0.0215753,0.00138642
-0.92,0.739073,0.00135474,0,0.0456871,0.0170997,0.0167175,0.0015762
-0.9,0.804385,0.00198834,0,0.0457225,0.0154958,0.0131264,0.00164895
-0.88,0.861936,0.00271951,0,0.0457577,0.0135577,0.0101581,0.00163099
-0.86,0.913182,0.00352995,0,0.0457916,0.0113912,0.00758274,0.00154215
-0.84,0.957935,0.00438681,0,0.0458227,0.00912694,0.00536007,0.0014038
-0.82,0.996199,0.00522744,0,0.0458501,0.00695789,0.003498,0.00125284
-0.8,1.02615,0.00596344,0,0.0458725,0.00512323,0.00211275,0.00113364
-0.78,1.04779,0.00652026,0,0.0458895,0.00376261,0.00118432,0.0010906
-0.76,1.06022,0.0068171,0,0.0459014,0.00298926,0.000703406,0.00117214
-0.74,1.06695,0.00692893,0,0.0459111,0.00258093,0.00045821,0.0013394
-0.72,1.07024,0.00691977,0,0.0459197,0.00238229,0.000336618,0.0015398
-0.7,1.0716,0.00683799,0,0.0459278,0.00229036,0.000275251,0.0017281
-0.68,1.07192,0.00671301,0,0.0459359,0.0022493,0.000242794,0.0018821
-0.66,1.07166,0.00656109,0,0.0459443,0.00223184,0.000224692,0.00199853
-0.64,1.07107,0.00639076,0,0.0459529,0.00222498,0.000214075,0.00208293
-0.62,1.07029,0.00620812,0,0.0459615,0.00222253,0.000207553,0.00214273
-0.6,1.06943,0.00601724,0,0.04597,0.00222157,0.000203371,0.00218446
-0.58,1.06852,0.00582062,0,0.0459784,0.00222081,0.000200575,0.00221318
-0.56,1.06761,0.00561998,0,0.0459867,0.00221968,0.000198658,0.00223218
-0.54,1.06674,0.00541644,0,0.0459947,0.00221793,0.000197368,0.00224322
-0.52,1.06591,0.00521184,0,0.0460025,0.00221584,0.000196359,0.00225047
-0.5,1.06513,0.00500666,0,0.0460101,0.00221354,0.000195559,0.00225498
-0.48,1.0644,0.00480125,0,0.0460175,0.00221111,0.000194944,0.00225713
-0.46,1.06374,0.00459619,0,0.0460244,0.00220877,0.00019447,0.00225784
-0.44,1.06312,0.00439147,0,0.0460312,0.00220653,0.000194063,0.00225798
-0.42,1.06256,0.00418733,0,0.0460377,0.00220448,0.000193739,0.00225757
-0.4,1.06206,0.00398392,0,0.0460438,0.0022027,0.000193478,0.00225695
-0.38,1.06159,0.00378084,0,0.0460497,0.00220104,0.000193245,0.00225627
-0.36,1.06118,0.00357868,0,0.0460552,0.00219971,0.000193071,0.00225559
-0.34,1.06079,0.00337681,0,0.0460605,0.00219849,0.000192911,0.00225495
-0.32,1.06045,0.00317553,0,0.0460654,0.00219748,0.000192782,0.00225439
-0.3,1.06014,0.0029746,0,0.04607,0.00219661,0.00019267,0.0022539
-0.28,1.05985,0.00277404,0,0.0460744,0.00219586,0.000192574,0.00225348
-0.26,1.0596,0.0025738,0,0.0460785,0.00219522,0.000192492,0.00225313
-0.24,1.05936,0.00237381,0,0.0460822,0.00219467,0.000192421,0.00225284
-0.22,1.05916,0.00217406,0,0.0460857,0.0021942,0.00019236,0.00225259
-0.2,1.05897,0.0019745,0,0.0460889,0.0021938,0.000192307,0.00225239
-0.18,1.0588,0.00177509,0,0.0460918,0.00219345,0.000192261,0.00225222
-0.16,1.05866,0.00157585,0,0.0460943,0.00219317,0.000192222,0.00225208
-0.14,1.05853,0.00137667,0,0.0460967,0.00219291,0.000192187,0.00225196
-0.12,1.05843,0.00117765,0,0.0460986,0.00219272,0.000192161,0.00225187
-0.1,1.05832,0.00097864,0,0.0461005,0.00219252,0.000192135,0.00225178
-0.08,1.05826,0.00077977,0,0.0461017,0.00219241,0.000192119,0.00225173
-0.06,1.0582,0.000580906,0,0.0461029,0.0021923,0.000192104,0.00225169
-0.04,1.05816,0.000383142,0,0.0461037,0.00219223,0.000192094,0.00225166
-0.02,1.05814,0.000186325,0,0.0461042,0.00219219,0.000192089,0.00225164
-7.88754e-17,1.05812,-1.04922e-05,0,0.0461046,0.00219216,0.000192084,0.00225163
0.02,1.05814,-0.000207303,0,0.0461044,0.00219219,0.000192089,0.00225164
0.04,1.05816,-0.000404114,0,0.0461041,0.00219223,0.000192094,0.00225166
0.06,1.0582,-0.000601866,0,0.0461035,0.0021923,0.000192104,0.00225169
0.08,1.05826,-0.000800711,0,0.0461025,0.00219241,0.000192119,0.00225173
0.1,1.05832,-0.000999562,0,0.0461015,0.00219252,0.000192135,0.00225178
0.12,1.05842,-0.00119854,0,0.0460998,0.00219271,0.000192161,0.00225187
0.14,1.05853,-0.00139752,0,0.0460981,0.0021929,0.000192187,0.00225196
0.16,1.05866,-0.00159667,0,0.0460959,0.00219316,0.000192222,0.00225208
0.18,1.0588,-0.00179586,0,0.0460936,0.00219345,0.00019226,0.00225222
0.2,1.05897,-0.00199522,0,0.0460909,0.0021938,0.000192306,0.00225239
0.22,1.05915,-0.00219473,0,0.0460879,0.0021942,0.000192359,0.00225259
0.24,1.05936,-0.00239442,0,0.0460847,0.00219466,0.00019242,0.00225284
0.26,1.05959,-0.00259435,0,0.0460811,0.00219521,0.000192491,0.00225313
0.28,1.05985,-0.00279451,0,0.0460772,0.00219585,0.000192573,0.00225348
0.3,1.06013,-0.002995,0,0.0460731,0.0021966,0.000192669,0.0022539
0.32,1.06045,-0.00319585,0,0.0460686,0.00219748,0.000192781,0.00225439
0.34,1.06079,-0.00339705,0,0.0460639,0.00219848,0.00019291,0.00225494
0.36,1.06118,-0.00359884,0,0.0460588,0.0021997,0.000193069,0.00225558
0.38,1.06158,-0.0038009,0,0.0460535,0.00220103,0.000193244,0.00225626
0.4,1.06206,-0.00400389,0,0.0460478,0.00220269,0.000193477,0.00225695
0.42,1.06256,-0.00420721,0,0.0460419,0.00220447,0.000193738,0.00225756
0.44,1.06312,-0.00441125,0,0.0460356,0.00220652,0.000194062,0.00225798
0.46,1.06373,-0.00461586,0,0.0460291,0.00220876,0.000194468,0.00225783
0.48,1.06439,-0.00482081,0,0.0460223,0.0022111,0.000194943,0.00225712
0.5,1.06512,-0.00502611,0,0.0460151,0.00221352,0.000195558,0.00225496
0.52,1.0659,-0.00523119,0,0.0460077,0.00221582,0.000196358,0.00225046
0.54,1.06673,-0.00543566,0,0.0460001,0.00221791,0.000197367,0.0022432
0.56,1.0676,-0.00563908,0,0.0459923,0.00221967,0.000198658,0.00223215
0.58,1.06851,-0.00583959,0,0.0459842,0.00222079,0.000200575,0.00221314
0.6,1.06942,-0.00603608,0,0.045976,0.00222155,0.000203372,0.00218441
0.62,1.07028,-0.00622681,0,0.0459677,0.00222251,0.000207558,0.00214265
0.64,1.07106,-0.0064093,0,0.0459593,0.00222497,0.000214083,0.00208282
0.66,1.07165,-0.00657945,0,0.0459509,0.00223184,0.000224708,0.00199839
0.68,1.07191,-0.00673118,0,0.0459426,0.00224933,0.000242825,0.00188191
0.7,1.07159,-0.00685593,0,0.0459347,0.00229044,0.000275309,0.00172786
0.72,1.07022,-0.00693739,0,0.0459268,0.00238247,0.000336733,0.00153953
0.74,1.06693,-0.00694614,0,0.0459183,0.00258134,0.000458444,0.00133916
0.76,1.06019,-0.00683363,0,0.0459087,0.00299009,0.000703879,0.00117201
0.78,1.04775,-0.00653588,0,0.0458971,0.00376409,0.00118521,0.00109063
0.8,1.0261,-0.00597779,0,0.0458801,0.00512549,0.00211422,0.00113383
0.82,0.996141,-0.00524035,0,0.0458579,0.00696078,0.00350004,0.00125314
0.84,0.957868,-0.00439817,0,0.0458306,0.00913016,0.0053625,0.00140415
0.86,0.913108,-0.00353967,0,0.0457996,0.0113944,0.00758534,0.0015425
0.88,0.861859,-0.00272754,0,0.0457657,0.0135608,0.0101605,0.00163133
0.9,0.804306,-0.00199465,0,0.0457305,0.0154984,0.0131283,0.00164925
0.92,0.738996,-0.00135937,0,0.0456951,0.0171015,0.0167185,0.00157645
0.94,0.661687,-0.000837079,0,0.0456613,0.0181968,0.0215746,0.00138661
0.96,0.564466,-0.000426278,0,0.0456309,0.0184668,0.0290478,0.00106299
0.98,0.417382,-0.000138304,0,0.0456061,0.0162961,0.0437585,0.0005614
1,3.761e-15,-3.19172e-19,0,0.0455935,0.00132383,0.082252,3.62719e-08
