y,U_x,U_y,U_z,p,k,epsilon,nut
0.54,1.06673,-0.00543073,0,0.0474194,0.00221792,0.000197368,0.00224321
0.56,1.06761,-0.00563443,0,0.0474115,0.00221968,0.000198659,0.00223217
0.58,1.06851,-0.00583526,0,0.0474035,0.00222081,0.000200577,0.00221315
0.6,1.06942,-0.00603207,0,0.0473952,0.00222157,0.000203373,0.00218442
0.62,1.07029,-0.00622314,0,0.0473869,0.00222252,0.000207558,0.00214267
0.64,1.07106,-0.00640597,0,0.0473785,0.00222498,0.000214084,0.00208284
0.66,1.07165,-0.00657648,0,0.0473701,0.00223185,0.000224708,0.00199841
0.68,1.07191,-0.00672856,0,0.0473619,0.00224933,0.000242823,0.00188193
0.7,1.07159,-0.00685368,0,0.047354,0.00229044,0.000275306,0.00172789
0.72,1.07023,-0.00693552,0,0.0473461,0.00238247,0.000336727,0.00153955
0.74,1.06694,-0.00694461,0,0.0473377,0.00258132,0.000458433,0.00133918
0.76,1.0602,-0.00683249,0,0.0473282,0.00299005,0.000703859,0.00117201
0.78,1.04776,-0.00653504,0,0.0473166,0.00376404,0.00118518,0.00109063
0.8,1.02611,-0.00597722,0,0.0472997,0.00512545,0.0021142,0.00113383
0.82,0.996152,-0.00523998,0,0.0472774,0.00696079,0.00350004,0.00125315
0.84,0.95788,-0.00439793,0,0.0472501,0.00913023,0.00536255,0.00140416
0.86,0.91312,-0.00353949,0,0.0472191,0.0113946,0.00758545,0.00154252
0.88,0.861871,-0.00272737,0,0.0471852,0.013561,0.0101607,0.00163135
0.9,0.804318,-0.00199447,0,0.0471499,0.0154986,0.0131286,0.00164927
0.92,0.739007,-0.00135917,0,0.0471145,0.0171018,0.0167188,0.00157647
0.94,0.661699,-0.00083687,0,0.0470807,0.0181971,0.021575,0.00138663
0.96,0.564477,-0.000426101,0,0.0470502,0.0184672,0.0290486,0.00106301
0.98,0.417391,-0.000138211,0,0.0470255,0.0162965,0.0437602,0.000561406
1,3.76111e-15,-3.18823e-19,0,0.0470128,0.00132389,0.0822555,3.62738e-08
