y,U_x,U_y,U_z,p,k,epsilon,nut
-1,0,0,0,0.0385915,0.00128982,0.0800882,3.59777e-08
-0.98,0.420167,0.000130777,0,0.0386005,0.0160022,0.043896,0.000538874
-0.96,0.572735,0.000361044,0,0.0386143,0.0179479,0.0293141,0.000994618
-0.94,0.675109,0.000658783,0,0.0386291,0.0173648,0.0215215,0.0012657
-0.92,0.756754,0.00101484,0,0.0386448,0.0159261,0.0162637,0.00140549
-0.9,0.825319,0.00142945,0,0.038662,0.0139742,0.0123006,0.00143132
-0.88,0.885034,0.00189103,0,0.0386784,0.0117383,0.00903337,0.00137549
-0.86,0.937011,0.00237918,0,0.0386931,0.0093833,0.00626982,0.00126646
-0.84,0.980366,0.00286402,0,0.0387064,0.0071212,0.00404819,0.0011349
-0.82,1.01486,0.00330646,0,0.0387186,0.00518443,0.00237798,0.00102893
-0.8,1.03873,0.0036543,0,0.0387288,0.00382022,0.0013302,0.00101272
-0.78,1.05373,0.00388927,0,0.0387364,0.00299615,0.000739587,0.00111136
-0.76,1.06118,0.00400475,0,0.0387437,0.00259379,0.000478069,0.00129026
-0.74,1.06493,0.00405251,0,0.0387528,0.00238247,0.000349996,0.00147818
-0.72,1.06661,0.00405466,0,0.0387623,0.00228085,0.000284459,0.00165834
-0.7,1.06713,0.00402344,0,0.0387717,0.00223744,0.000248365,0.0018215
-0.68,1.06702,0.00396973,0,0.0387806,0.00222073,0.000227822,0.001952
-0.66,1.06655,0.00389969,0,0.0387892,0.00221558,0.000215885,0.00204834
-0.64,1.06588,0.00381767,0,0.0387976,0.00221495,0.000208633,0.00211732
-0.62,1.0651,0.0037269,0,0.0388059,0.00221562,0.000204028,0.0021659
-0.6,1.06428,0.00362944,0,0.0388141,0.0022162,0.000200973,0.00219971
-0.58,1.06343,0.00352678,0,0.0388221,0.00221618,0.000198861,0.00222291
-0.56,1.0626,0.00341991,0,0.03883,0.00221541,0.000197361,0.0022382
-0.54,1.06181,0.00330914,0,0.0388376,0.00221386,0.000196315,0.00224698
-0.52,1.06106,0.00319626,0,0.0388451,0.00221196,0.00019548,0.00225267
-0.5,1.06035,0.00308173,0,0.0388523,0.00220983,0.000194805,0.00225612
-0.48,1.05969,0.00296561,0,0.0388593,0.00220759,0.000194276,0.00225768
-0.46,1.05909,0.00284821,0,0.0388659,0.00220544,0.000193862,0.00225809
-0.44,1.05854,0.0027302,0,0.0388724,0.00220339,0.000193504,0.00225807
-0.42,1.05803,0.0026114,0,0.0388786,0.00220154,0.000193216,0.00225764
-0.4,1.05758,0.00249199,0,0.0388845,0.00219994,0.000192982,0.00225708
-0.38,1.05715,0.00237228,0,0.0388902,0.00219845,0.000192772,0.00225648
-0.36,1.05678,0.00225189,0,0.0388955,0.00219728,0.000192614,0.00225594
-0.34,1.05643,0.00213129,0,0.0389005,0.00219622,0.000192469,0.00225545
-0.32,1.05611,0.00201024,0,0.0389053,0.00219535,0.000192351,0.00225507
-0.3,1.05583,0.00188887,0,0.0389097,0.00219462,0.000192248,0.00225476
-0.28,1.05557,0.00176718,0,0.0389139,0.00219401,0.00019216,0.00225453
-0.26,1.05534,0.00164513,0,0.0389177,0.00219351,0.000192086,0.00225439
-0.24,1.05513,0.00152283,0,0.0389213,0.0021931,0.000192021,0.0022543
-0.22,1.05494,0.00140021,0,0.0389245,0.00219277,0.000191966,0.00225428
-0.2,1.05477,0.00127735,0,0.0389274,0.00219251,0.000191918,0.00225431
-0.18,1.05462,0.00115426,0,0.03893,0.00219231,0.000191876,0.00225437
-0.16,1.05449,0.00103091,0,0.0389322,0.00219216,0.000191842,0.00225448
-0.14,1.05438,0.000907457,0,0.0389342,0.00219204,0.000191811,0.00225459
-0.12,1.05429,0.000783722,0,0.0389357,0.00219198,0.000191788,0.00225473
-0.1,1.0542,0.000659986,0,0.0389372,0.00219192,0.000191766,0.00225487
-0.08,1.05414,0.00053601,0,0.0389379,0.0021919,0.000191752,0.00225501
-0.06,1.05409,0.000412024,0,0.0389386,0.00219189,0.000191738,0.00225514
-0.04,1.05406,0.000288665,0,0.0389388,0.00219189,0.00019173,0.00225525
-0.02,1.05404,0.000165847,0,0.0389387,0.0021919,0.000191725,0.00225533
-7.88754e-17,1.05403,4.30293e-05,0,0.0389385,0.00219192,0.00019172,0.00225541
0.02,1.05405,-7.96236e-05,0,0.0389376,0.00219194,0.000191723,0.00225541
0.04,1.05407,-0.000202277,0,0.0389366,0.00219196,0.000191726,0.00225541
0.06,1.0541,-0.000325316,0,0.0389352,0.00219199,0.000191734,0.00225538
0.08,1.05416,-0.000448805,0,0.0389334,0.00219203,0.000191747,0.00225533
0.1,1.05422,-0.000572269,0,0.0389315,0.00219208,0.00019176,0.00225527
0.12,1.05431,-0.000695179,0,0.0389289,0.00219217,0.000191783,0.00225519
0.14,1.05441,-0.000818088,0,0.0389263,0.00219227,0.000191807,0.00225512
0.16,1.05453,-0.000940476,0,0.0389232,0.00219243,0.000191839,0.00225506
0.18,1.05466,-0.00106267,0,0.0389198,0.0021926,0.000191875,0.002255
0.2,1.05481,-0.00118443,0,0.0389161,0.00219284,0.000191918,0.00225498
0.22,1.05499,-0.00130581,0,0.038912,0.00219313,0.000191969,0.00225498
0.24,1.05518,-0.0014268,0,0.0389077,0.00219348,0.000192027,0.00225502
0.26,1.05539,-0.00154727,0,0.0389029,0.00219392,0.000192095,0.00225512
0.28,1.05563,-0.00166733,0,0.038898,0.00219444,0.000192174,0.00225527
0.3,1.0559,-0.00178684,0,0.0388926,0.00219507,0.000192266,0.00225549
0.32,1.05619,-0.00190582,0,0.038887,0.00219583,0.000192374,0.00225578
0.34,1.0565,-0.00202431,0,0.0388811,0.00219672,0.000192497,0.00225615
0.36,1.05686,-0.00214205,0,0.0388748,0.00219781,0.000192649,0.00225661
0.38,1.05724,-0.00225946,0,0.0388684,0.002199,0.000192815,0.00225712
0.4,1.05767,-0.00237574,0,0.0388615,0.00220052,0.000193034,0.00225767
0.42,1.05813,-0.00249157,0,0.0388544,0.00220215,0.000193278,0.00225816
0.44,1.05864,-0.00260641,0,0.0388471,0.00220403,0.000193579,0.00225852
0.46,1.05921,-0.00272009,0,0.0388394,0.00220611,0.000193952,0.00225841
0.48,1.05981,-0.00283286,0,0.0388315,0.00220828,0.000194383,0.00225784
0.5,1.06047,-0.00294385,0,0.0388234,0.00221053,0.000194934,0.00225606
0.52,1.06119,-0.00305277,0,0.0388149,0.00221265,0.000195637,0.00225227
0.54,1.06194,-0.00315965,0,0.0388063,0.00221452,0.000196506,0.00224614
0.56,1.06274,-0.00326396,0,0.0387975,0.00221602,0.000197595,0.00223677
0.58,1.06358,-0.00336379,0,0.0387884,0.00221668,0.000199156,0.00222062
0.6,1.06443,-0.00345905,0,0.038779,0.00221654,0.000201355,0.00219623
0.62,1.06526,-0.00354895,0,0.0387695,0.00221575,0.000204535,0.00216082
0.64,1.06605,-0.00363226,0,0.0387596,0.00221482,0.00020933,0.00211009
0.66,1.06673,-0.00370736,0,0.0387495,0.00221514,0.000216881,0.00203827
0.68,1.06721,-0.00377205,0,0.0387389,0.00221994,0.000229305,0.0019383
0.7,1.06733,-0.00382396,0,0.0387279,0.00223637,0.000250697,0.00180338
0.72,1.06681,-0.00385818,0,0.0387176,0.00227971,0.0002889,0.00163287
0.74,1.06508,-0.00386005,0,0.038709,0.00238278,0.000359073,0.00144299
0.76,1.06122,-0.00381103,0,0.0387006,0.00260388,0.000494515,0.00125718
0.78,1.05357,-0.00369098,0,0.0386924,0.00303396,0.000767758,0.00109658
0.8,1.03827,-0.00345267,0,0.0386835,0.00387773,0.00137425,0.0010092
0.82,1.01401,-0.00310674,0,0.0386722,0.00525306,0.00243942,0.00102921
0.84,0.979134,-0.00267738,0,0.0386595,0.00720422,0.00412724,0.00113898
