y,U_x,U_y,U_z,p,k,epsilon,nut
-1,0,0,0,0.0421125,0.00132488,0.0823188,3.63163e-08
-0.98,0.41777,0.00013478,0,0.0421248,0.0163027,0.043832,0.000560894
-0.96,0.565088,0.000414286,0,0.0421488,0.0184616,0.029084,0.00106106
-0.94,0.662467,0.000811484,0,0.0421781,0.0181752,0.0215786,0.00138307
-0.92,0.739869,0.00131596,0,0.0422106,0.0170643,0.0166984,0.00157149
-0.9,0.805216,0.00193031,0,0.0422446,0.015449,0.0130932,0.00164318
-0.88,0.862759,0.00264057,0,0.0422787,0.0135037,0.0101173,0.00162458
-0.86,0.91396,0.00342945,0,0.0423117,0.0113345,0.00754016,0.0015355
-0.84,0.95863,0.00426501,0,0.0423421,0.00907264,0.00532077,0.00139746
-0.82,0.996772,0.00508535,0,0.0423692,0.00691049,0.00346567,0.00124746
-0.8,1.02656,0.00580323,0,0.0423917,0.00508717,0.00208991,0.00113015
-0.78,1.04803,0.00634533,0,0.0424091,0.00373951,0.00117082,0.00108977
-0.76,1.06032,0.00663323,0,0.0424217,0.00297658,0.000696355,0.00117392
-0.74,1.06696,0.00674109,0,0.0424323,0.00257468,0.00045477,0.00134271
-0.72,1.07019,0.00673123,0,0.042442,0.00237941,0.000334953,0.00154339
-0.7,1.07153,0.00665067,0,0.0424512,0.0022891,0.00027442,0.00173121
-0.68,1.07183,0.00652792,0,0.0424604,0.0022488,0.000242364,0.00188449
-0.66,1.07156,0.00637879,0,0.0424699,0.0022317,0.00022446,0.00200028
-0.64,1.07097,0.00621164,0,0.0424796,0.002225,0.000213947,0.00208418
-0.62,1.07019,0.00603242,0,0.0424894,0.00222261,0.000207481,0.00214362
-0.6,1.06931,0.00584511,0,0.042499,0.00222167,0.00020333,0.0021851
-0.58,1.06841,0.00565217,0,0.0425086,0.00222091,0.000200552,0.00221362
-0.56,1.0675,0.00545529,0,0.0425181,0.00221976,0.000198645,0.00223249
-0.54,1.06662,0.00525562,0,0.0425273,0.00221799,0.000197359,0.00224343
-0.52,1.06579,0.00505495,0,0.0425363,0.00221588,0.000196353,0.00225062
-0.5,1.065,0.00485373,0,0.0425451,0.00221356,0.000195554,0.00225508
-0.48,1.06427,0.00465236,0,0.0425536,0.00221112,0.00019494,0.00225719
-0.46,1.06361,0.0044514,0,0.0425617,0.00220876,0.000194465,0.00225788
-0.44,1.06299,0.00425083,0,0.0425696,0.00220651,0.000194058,0.00225801
-0.42,1.06243,0.00405089,0,0.0425772,0.00220446,0.000193733,0.00225758
