y,U_x,U_y,U_z,p,k,epsilon,nut
-1,0,0,0,0.0352026,0.00123366,0.0765665,3.7203e-08
-0.98,0.443203,7.15692e-05,0,0.0352076,0.0153495,0.0463849,0.000467286
-0.96,0.618273,0.000251322,0,0.035216,0.0161946,0.0304319,0.000779494
-0.94,0.73927,0.000518118,0,0.0352213,0.0141426,0.0203101,0.000889923
-0.92,0.834274,0.000848714,0,0.0352315,0.0112199,0.0128955,0.00088067
-0.9,0.908162,0.00127862,0,0.0352567,0.00822914,0.00747721,0.000820966
-0.88,0.962059,0.00168939,0,0.0352727,0.00568786,0.00381282,0.000773423
-0.86,0.996942,0.00195894,0,0.0352643,0.00398869,0.00182815,0.000794294
-0.84,1.01634,0.00208438,0,0.0352223,0.00308873,0.000970342,0.000909496
-0.82,1.0267,0.0021303,0,0.0351759,0.00268729,0.000583668,0.0011346
-0.8,1.03234,0.00215019,0,0.035136,0.0025511,0.000416054,0.00142919
-0.78,1.03628,0.00217481,0,0.0351031,0.00250341,0.000330091,0.00171612
-0.76,1.03926,0.00220418,0,0.0350895,0.00248806,0.000287669,0.00194264
-0.74,1.04171,0.00222077,0,0.0350895,0.00247826,0.000263148,0.00210395
-0.72,1.04377,0.00222864,0,0.0350932,0.00246659,0.000248226,0.0022075
-0.7,1.04552,0.00223349,0,0.0350961,0.00245284,0.000238639,0.00226976
-0.68,1.04693,0.0022284,0,0.0350986,0.00244311,0.000232219,0.00231374
-0.66,1.04797,0.00220469,0,0.0351013,0.0024366,0.000227774,0.00234614
-0.64,1.04868,0.0021652,0,0.0351042,0.00242948,0.000224594,0.00236533
-0.62,1.04915,0.00211905,0,0.0351066,0.0024219,0.000222243,0.00237541
-0.6,1.04943,0.00207114,0,0.0351072,0.00241487,0.000220441,0.00238092
-0.58,1.04957,0.00202261,0,0.0351052,0.00240853,0.00021901,0.00238388
-0.56,1.04964,0.00197434,0,0.0351013,0.00240263,0.000217842,0.00238493
-0.54,1.04964,0.00192167,0,0.0350973,0.00239699,0.000216917,0.00238388
-0.52,1.04959,0.00186496,0,0.035094,0.00239157,0.00021615,0.00238153
-0.5,1.04949,0.00180487,0,0.0350914,0.00238637,0.000215513,0.00237819
-0.48,1.04934,0.00174137,0,0.0350895,0.00238149,0.000215012,0.002374
-0.46,1.04913,0.00167555,0,0.0350881,0.00237704,0.000214606,0.0023696
